RICCARDO GIUSEPPE,1999,10,m
RODRIGO,1999,10,m
ROSSANO,1999,10,m
SALVO,1999,10,m
SERENA,1999,10,m
SIMONE ANTONIO,1999,10,m
SIRIO,1999,10,m
SOUFIANE,1999,10,m
VALERIANO,1999,10,m
VINCENZO ANTONIO,1999,10,m
VINCENZO EMANUELE,1999,10,m
VITTORIO EMANUELE,1999,10,m
YOUNESS,1999,10,m
ADEL,1999,9,m
AIMEN,1999,9,m
ALESSANDRO LUIGI,1999,9,m
ALESSANRO,1999,9,m
ANDREA DOMENICO,1999,9,m
ANDREA LUCA,1999,9,m
ANOUAR,1999,9,m
ANTONIO MARIO,1999,9,m
ARONNE,1999,9,m
AZIZ,1999,9,m
EMANUELE GIUSEPPE,1999,9,m
FAROUK,1999,9,m
FEDERICO FRANCESCO,1999,9,m
FEDI,1999,9,m
FRANCESCO DAVIDE,1999,9,m
FRANCESCO MICHELE,1999,9,m
FRANCESCO PIETRO,1999,9,m
GENNY,1999,9,m
GESUALDO,1999,9,m
GIADA,1999,9,m
GIALUCA,1999,9,m
GIUSEPPE DANIELE,1999,9,m
GIUSEPPE LUCA,1999,9,m
GIUSEPPE SALVATORE,1999,9,m
HERMANN,1999,9,m
HERMES,1999,9,m
JESSICA,1999,9,m
JODY,1999,9,m
JORDI,1999,9,m
JUSTIN,1999,9,m
LEONARD,1999,9,m
LIAM,1999,9,m
LORENZO EMANUELE,1999,9,m
LUCA GIOVANNI,1999,9,m
MARCOS,1999,9,m
MARLO,1999,9,m
MARVIN,1999,9,m
MICHELA,1999,9,m
MICHELE ANTONIO,1999,9,m
NADER,1999,9,m
NICCOL�,1999,9,m
NICODEMO,1999,9,m
NOUR,1999,9,m
PAOLA,1999,9,m
PIERANTONIO,1999,9,m
PIERDOMENICO,1999,9,m
QUIRINO,1999,9,m
REY,1999,9,m
RICARDO,1999,9,m
ROBERTO MARIA,1999,9,m
RUDI,1999,9,m
SALAH,1999,9,m
SALEM,1999,9,m
SHADI,1999,9,m
SIMONE SALVATORE,1999,9,m
STEFANO GIUSEPPE,1999,9,m
THEO,1999,9,m
ULISSE,1999,9,m
USAMA,1999,9,m
VALTER,1999,9,m
VERONICA,1999,9,m
VINCENZO GIUSEPPE,1999,9,m
XAVIER,1999,9,m
ZIAD,1999,9,m
ADREA,1999,8,m
ALBANO,1999,8,m
ALEC,1999,8,m
ALESSANDRO GIOVANNI,1999,8,m
ALESSANDRO MARIO,1999,8,m
ALESSANDRO SALVATOR,1999,8,m
ALEZ,1999,8,m
ANDI,1999,8,m
ANDREI,1999,8,m
ANDRES,1999,8,m
ANGELA,1999,8,m
ANTONIO JUNIOR,1999,8,m
ANTONIOPIO,1999,8,m
